Date,Hour,Minute,Lat,Lon,Base
04.12.2014,0,00,40.748,-73.987,B02512
04.12.2014,0,01,40.744,-73.9872,B02512
04.12.2014,0,03,40.7268,-73.9834,B02512
04.12.2014,0,08,40.7436,-74.029,B02512
04.12.2014,0,08,40.7436,-74.029,B02512
04.12.2014,0,11,40.7422,-73.9989,B02512
04.12.2014,0,13,40.727,-73.9839,B02512
04.12.2014,0,13,40.7422,-74.0294,B02512
04.12.2014,0,14,40.734,-73.9897,B02512
04.12.2014,0,15,40.7393,-73.9936,B02512
04.12.2014,0,15,40.7177,-73.9494,B02512
04.12.2014,0,17,40.7409,-74.0051,B02512
04.12.2014,0,17,40.7323,-73.9807,B02512
04.12.2014,0,18,40.7151,-73.9515,B02512
04.12.2014,0,21,40.7676,-73.9305,B02512
04.12.2014,0,22,40.7295,-73.987,B02512
04.12.2014,0,23,40.6752,-73.9599,B02512
04.12.2014,0,23,40.7089,-73.7514,B02512
04.12.2014,0,25,40.7224,-73.9972,B02512
04.12.2014,0,25,40.7609,-73.9798,B02512
04.12.2014,0,30,40.7409,-74.005,B02512
04.12.2014,0,32,40.7406,-74.0086,B02512
04.12.2014,0,32,40.7413,-73.9929,B02512
04.12.2014,0,33,40.7371,-74.0287,B02512
04.12.2014,0,33,40.7371,-74.0287,B02512
04.12.2014,0,35,40.7189,-73.9946,B02512
04.12.2014,0,35,40.7493,-73.98,B02512
04.12.2014,0,38,40.6952,-74.1773,B02512
04.12.2014,0,43,40.7384,-74.0097,B02512
04.12.2014,0,45,40.7435,-73.9798,B02512
04.12.2014,0,46,40.7407,-74.005,B02512
04.12.2014,0,46,40.7178,-73.9905,B02512
04.12.2014,0,49,40.7285,-73.9997,B02512
04.12.2014,0,52,40.7505,-74.0239,B02512
04.12.2014,0,52,40.7505,-74.0239,B02512
04.12.2014,0,52,40.7776,-73.9889,B02512
04.12.2014,0,54,40.7892,-73.9746,B02512
04.12.2014,0,56,40.7171,-74.0452,B02512
04.12.2014,0,56,40.7171,-74.0452,B02512
04.12.2014,0,56,40.7349,-73.9888,B02512
04.12.2014,0,57,40.7299,-73.9813,B02512
04.12.2014,0,57,40.7063,-74.0089,B02512
04.12.2014,1,05,40.7063,-74.009,B02512
04.12.2014,1,05,40.7519,-73.9929,B02512
04.12.2014,1,06,40.7917,-73.9724,B02512
04.12.2014,1,07,40.739,-73.9897,B02512
04.12.2014,1,08,40.7122,-74.0081,B02512
04.12.2014,1,08,40.7606,-73.9733,B02512
04.12.2014,1,09,40.7245,-73.9924,B02512
04.12.2014,1,10,40.7275,-73.9854,B02512
04.12.2014,1,11,40.7216,-73.9921,B02512
04.12.2014,1,12,40.7496,-74.0272,B02512
04.12.2014,1,12,40.7496,-74.0272,B02512
04.12.2014,1,12,40.7357,-74.0006,B02512
04.12.2014,1,22,40.721,-73.9936,B02512
04.12.2014,1,26,40.7504,-74.0022,B02512
04.12.2014,1,26,40.7395,-74.027,B02512
04.12.2014,1,26,40.7395,-74.027,B02512
04.12.2014,1,26,40.741,-73.9925,B02512
04.12.2014,1,27,40.7409,-73.9764,B02512
04.12.2014,1,31,40.7659,-73.977,B02512
04.12.2014,1,34,40.7419,-74.0036,B02512
04.12.2014,1,43,40.6747,-73.8038,B02512
04.12.2014,1,44,40.7236,-73.9913,B02512
04.12.2014,1,47,40.8835,-74.4811,B02512
04.12.2014,1,48,40.7199,-74.0043,B02512
04.12.2014,1,57,40.7445,-74.0061,B02512
04.12.2014,1,58,40.7902,-73.9658,B02512
04.12.2014,1,58,40.7902,-73.9658,B02512
04.12.2014,1,59,40.7273,-73.9938,B02512
04.12.2014,2,04,40.7478,-74.0045,B02512
04.12.2014,2,04,40.7311,-74.0103,B02512
04.12.2014,2,09,40.741,-74.0054,B02512
04.12.2014,2,12,40.7443,-74.0067,B02512
04.12.2014,2,18,40.7488,-73.9925,B02512
04.12.2014,2,20,40.7521,-73.9955,B02512
04.12.2014,2,23,40.7141,-73.9555,B02512
04.12.2014,2,28,40.7183,-73.9893,B02512
04.12.2014,2,29,40.7299,-73.9813,B02512
04.12.2014,2,33,40.7237,-73.9823,B02512
04.12.2014,2,42,40.7495,-74.003,B02512
04.12.2014,2,44,40.7394,-74.0067,B02512
04.12.2014,2,47,40.7245,-73.9907,B02512
04.12.2014,2,49,40.6984,-73.9089,B02512
04.12.2014,2,52,40.7744,-73.9893,B02512
04.12.2014,3,10,40.7211,-74.0111,B02512
04.12.2014,3,10,40.7421,-74.0039,B02512
04.12.2014,3,13,40.7443,-73.9839,B02512
04.12.2014,3,16,40.7508,-74.0037,B02512
04.12.2014,3,20,40.7407,-74.0056,B02512
04.12.2014,3,20,40.7407,-74.0056,B02512
04.12.2014,3,29,40.7215,-73.9946,B02512
04.12.2014,3,31,40.7419,-74.0038,B02512
04.12.2014,3,39,40.7473,-73.9725,B02512
04.12.2014,3,44,40.7401,-74.0033,B02512
04.12.2014,3,47,40.7443,-74.0067,B02512
04.12.2014,3,47,41.0546,-73.5821,B02512
04.12.2014,3,58,40.7084,-74.0149,B02512
04.12.2014,4,03,40.757,-73.999,B02512
04.12.2014,4,16,40.7138,-73.9574,B02512
04.12.2014,4,17,40.7433,-73.9937,B02512
04.12.2014,4,27,40.7409,-74.0051,B02512
04.12.2014,4,33,40.6804,-73.9563,B02512
04.12.2014,4,34,40.8457,-73.9675,B02512
04.12.2014,4,38,40.7418,-74.0033,B02512
04.12.2014,4,46,40.7198,-73.9857,B02512
04.12.2014,5,02,40.8395,-73.9408,B02512
04.12.2014,5,11,40.695,-74.1782,B02512
04.12.2014,5,12,40.7902,-73.9731,B02512
04.12.2014,5,25,40.7564,-73.9822,B02512
04.12.2014,5,32,40.7639,-73.9782,B02512
04.12.2014,5,35,40.7639,-73.9823,B02512
04.12.2014,5,36,40.7454,-73.9773,B02512
04.12.2014,5,45,40.7214,-73.9877,B02512
04.12.2014,6,08,40.645,-73.7818,B02512
04.12.2014,6,16,40.7178,-73.9853,B02512
04.12.2014,6,16,40.7747,-73.9583,B02512
